lsoa11,year,dla_pip_pct,est_qof_dep,antidep_rate,z_mh_rate,samhi_index,samhi_dec
E01000321,2017,2.043010753,7.577487698,23.03904692,-0.374377978,-0.52707578,3
E01000322,2017,2.014846235,7.376838604,22.27172267,-0.02098355,-0.352522859,4
E01000323,2017,2.383888204,7.33486086,21.81210283,0.223750337,-0.212006118,4
E01000324,2017,2.436383324,7.246313422,21.65091609,-0.255749046,-0.515203199,3
E01000325,2017,1.239925604,7.088202891,29.73713616,-0.750896558,-0.710354397,2
E01000326,2017,1.255539143,11.40155731,32.32341404,-1.147760227,-0.457259193,3
E01000327,2017,0,6.417812693,29.27506771,-0.831931965,-0.900808019,1
E01000328,2017,0.996677741,7.055756014,29.71498996,0.824252865,0.231412245,7
E01000329,2017,0.754716981,7.643523248,30.77586572,-0.641291695,-0.568905962,3
E01000330,2017,1.719745223,7.059931868,30.17068656,0.332702637,-0.04057082,5
E01000331,2017,2.946593002,7.441271393,30.45120695,0.16377213,-0.069641654,5
E01000332,2017,1.893708002,6.281957556,24.30747089,0.338329581,-0.246419611,4
E01000333,2017,3.632478632,5.954428525,25.44632116,0.582284881,-0.101166029,5
