LSOA21CD,NDVI_MEAN,NDVI_MEDIAN,NDVI_STD,NDVI_MAX,NDVI_MIN,NDVI_CV,VEG_FRAC,EVI_MEAN,EVI_MEDIAN,EVI_STD,EVI_MAX,EVI_MIN,PXL_COUNT,FINAL_PXL_COUNT,PCT_FILTERED
S01015970,0.4566461186133409,0.4566121430551705,0.20399279444789573,0.8933401377902526,0.0009787928221859706,0.4467196503658973,0.8842146648319246,0.16250029330466928,0.14418125643666324,0.10337867458285423,0.5138280565636342,0.00024215029461619177,11005,5087,46.22444343480237
S01015971,0.36118038946547604,0.3348355114916629,0.14919039783278124,0.7895699908508692,0.0124582193862048,0.4130633948691775,0.8784709700685178,0.10948127626760654,0.09325427988063453,0.058892740379883464,0.36407510944670074,0.0034674063800277394,7524,2773,36.85539606592238
S01015972,0.4684274706765711,0.46588302636786333,0.1894095290205666,0.8940281030444965,0.00755891507336594,0.4043518812997748,0.9186046511627907,0.15739958938389562,0.1420954451663204,0.08802001198351454,0.47003136419877417,0.0018126372806175762,13254,6536,49.3134148181681
S01015973,0.5515095209041313,0.5646337904873067,0.15947311555142543,0.8937809576224546,0.07413509060955518,0.28915750228570686,0.9896951947065842,0.1950404871234941,0.18823529411764706,0.08276189088722834,0.494188294116131,0.015564830400996148,21385,9219,43.10965630114566
S01015974,0.6957907216676932,0.744731374295043,0.19545604062563388,0.9435525634386328,0.0,0.28091211126983506,0.963106063163451,0.3074528680530449,0.3102904224858295,0.12543564641819974,0.5868088008689721,0.0,676776,325853,48.147836211686
S01015975,0.5474157646664596,0.5947308017243729,0.20184560173725793,0.9095022624434389,0.0,0.3687244956495589,0.9310700768436747,0.2043587899333978,0.21258568655110033,0.10278520839778578,0.4999089419049353,0.0,69730,17438,25.007887566327263
S01015976,0.5381650236392348,0.5119485294117647,0.17993230612302832,0.9169606512890095,0.02570093457943925,0.3343441104854262,0.9810208218168417,0.18591099647335022,0.15739795283042363,0.09720414817653539,0.5272095091776502,0.004904255556298625,11856,5427,45.77429149797571
S01015977,0.4936630767788664,0.4805697942146391,0.19896664078676576,0.9066070541480378,0.010632911392405063,0.4030413659555336,0.9301328761251607,0.16524311211564116,0.14412863874882678,0.09562498036200567,0.5020356514084507,0.0022151898734177216,11736,4666,39.75800954328562
S01015978,0.3760780182466183,0.38454287098302575,0.24027238238438023,0.896453322462291,0.0,0.6388897269364421,0.6823725055432373,0.13509685146896697,0.11183591896169731,0.11715317846342918,0.5718310531719313,0.0,65218,9020,13.830537581649239
S01015979,0.5410570123322668,0.5175285463433155,0.19478614576533892,0.9137254901960784,0.11261872455902307,0.360010389525678,0.9865816102067752,0.19307090924111625,0.16323141396650798,0.10423648527685062,0.5092631519941703,0.026981925360842617,10850,4546,41.89861751152073
S01015980,0.5153978839745782,0.4949296696107295,0.23054399649733903,0.8947368421052632,0.04150620453572957,0.4473126562326176,0.9070764832022874,0.19741144235727343,0.16143009510265754,0.12579844788490097,0.48434248992599227,0.009814039134745744,8667,4197,48.42506057459329
S01015981,0.33993035085378204,0.29354354354354356,0.19093664413036537,0.818130150610969,0.004899292324442025,0.5616934282296406,0.7230359520639148,0.10741295423321547,0.0782292298362644,0.08367042098545772,0.3744952287867486,0.0010403662089055348,5096,2253,44.21114599686028
S01015982,0.7627594073018241,0.8210814334630034,0.1615477892511023,0.9366402667778241,0.0,0.21179389949782396,0.9805890528898368,0.35422557596705506,0.38243043127287124,0.109750677794276,0.6014094916327931,0.0,556095,355418,63.91318030192683
